,Symbol,Currency,Name,SPYD
0,MAA,USD,Mid-America Apartment Communities,True
1,DLR,USD,Digital Realty Trust,True
2,REG,USD,Regency Centers Corporation,True
3,ED,USD,Consolidated Edison,True
4,XRX,USD,Xerox Corporation,True
5,M,USD,Macy's,True
6,NWL,USD,Newell Brands Inc.,True
7,GGP,USD,GGP Inc.,True
8,KIM,USD,Kimco Realty Corporation,True
9,PBCT,USD,People's United Financial,True
10,SPG,USD,Simon Property Group,True
11,CNP,USD,CenterPoint Energy,True
12,HST,USD,Host Hotels & Resorts,True
13,VTR,USD,Ventas,True
14,PRU,USD,Prudential Financial,True
15,WY,USD,Weyerhaeuser Company,True
16,SO,USD,The Southern Company,True
17,HP,USD,Helmerich & Payne,True
18,OKE,USD,ONEOK,True
19,IRM,USD,Iron Mountain Incorporated,True
20,CCI,USD,Crown Castle International Corp.,True
21,GIS,USD,General Mills,True
22,O,USD,Realty Income Corporation,True
23,EXR,USD,Extra Space Storage Inc.,True
24,UDR,USD,UDR,True
25,HCP,USD,HCP,True
26,IVZ,USD,Invesco Ltd.,True
27,FE,USD,FirstEnergy Corp.,True
28,PPL,USD,PPL Corporation,True
29,KMB,USD,Kimberly-Clark Corporation,True
30,PFG,USD,Principal Financial Group,True
31,MAC,USD,The Macerich Company,True
32,AIV,USD,Apartment Investment & Management Company,True
33,WU,USD,The Western Union Company,True
34,KHC,USD,The Kraft Heinz Company,True
35,SLG,USD,SL Green Realty Corp.,True
36,IPG,USD,The Interpublic Group of Companies,True
37,WELL,USD,Welltower Inc.,True
38,CTL,USD,CenturyLink,True
39,WEC,USD,WEC Energy Group,True
40,ETR,USD,Entergy Corporation,True
41,STX,USD,Seagate Technology Public Limited Company,True
42,PSA,USD,Public Storage,True
43,IP,USD,International Paper Company,True
44,AES,USD,The AES Corporation,True
45,LB,USD,L Brands,True
46,WMB,USD,The Williams Companies,True
47,GM,USD,General Motors Company,True
48,ETN,USD,Eaton Corporation plc,True
49,TGT,USD,Target Corporation,True
50,KMI,USD,Kinder Morgan,True
51,MO,USD,Altria Group,True
52,OXY,USD,Occidental Petroleum Corporation,True
53,PFE,USD,Pfizer Inc.,True
54,IBM,USD,International Business Machines Corporation,True
55,T,USD,AT&T INC.,True
56,VZ,USD,Verizon Communications Inc.,True
57,KO,USD,THE COCA-COLA COMPANY,True
58,ABBV,USD,AbbVie Inc.,True
59,QCOM,USD,QUALCOMM Incorporated,True
60,MET,USD,MetLife,True
61,CVX,USD,Chevron Corporation,True
62,F,USD,Ford Motor Company,True
